task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
81	fa/1f751d	2177	run_searchgui_search (24)	COMPLETED	0	2022-02-08 17:58:11.776	1m 21s	1m 19s	223.0%	960.8 MB	6.3 GB	806.3 MB	183.2 MB
80	38/9647e1	11017	run_searchgui_search (23)	COMPLETED	0	2022-02-08 17:59:32.654	1m 23s	1m 21s	220.1%	974.2 MB	5.8 GB	851.6 MB	185.2 MB
78	b5/c13c26	13709	run_searchgui_search (21)	COMPLETED	0	2022-02-08 18:00:55.328	1m 17s	1m 16s	222.8%	984.5 MB	6.8 GB	796.1 MB	179.7 MB
82	f9/1cb5cf	16554	run_searchgui_search (25)	COMPLETED	0	2022-02-08 18:02:12.614	1m 20s	1m 18s	222.9%	1004.8 MB	6.6 GB	810.4 MB	184.1 MB
83	1e/b79959	19166	run_searchgui_search (26)	COMPLETED	0	2022-02-08 18:03:32.134	1m 20s	1m 19s	224.3%	920.5 MB	5.8 GB	803.1 MB	183.1 MB
62	7a/9f1ab3	21736	run_searchgui_search (5)	COMPLETED	0	2022-02-08 18:04:52.253	1m 19s	1m 18s	223.7%	934.8 MB	5.8 GB	803.7 MB	182.1 MB
69	21/05ce8d	24321	run_searchgui_search (12)	COMPLETED	0	2022-02-08 18:06:11.346	1m 23s	1m 21s	220.5%	1 GB	6.3 GB	850.1 MB	184.1 MB
71	75/9269c2	26940	run_searchgui_search (14)	COMPLETED	0	2022-02-08 18:07:33.944	1m 24s	1m 22s	219.6%	982.3 MB	5.9 GB	857.4 MB	183.5 MB
79	ee/c2f817	29614	run_searchgui_search (22)	COMPLETED	0	2022-02-08 18:08:57.628	1m 18s	1m 17s	225.6%	960.5 MB	6.4 GB	769.4 MB	172.5 MB
66	bc/fd6c02	32205	run_searchgui_search (9)	COMPLETED	0	2022-02-08 18:10:16.082	1m 23s	1m 22s	223.1%	1009 MB	6.4 GB	835.5 MB	185.1 MB
70	5a/c70fb2	34807	run_searchgui_search (13)	COMPLETED	0	2022-02-08 18:11:39.189	1m 20s	1m 19s	224.3%	928.4 MB	5.8 GB	809.4 MB	184.6 MB
67	3a/97099d	37631	run_searchgui_search (10)	COMPLETED	0	2022-02-08 18:12:59.694	1m 19s	1m 18s	224.4%	959.2 MB	6.3 GB	787.9 MB	177.4 MB
77	5b/828acc	40356	run_searchgui_search (20)	COMPLETED	0	2022-02-08 18:14:18.633	1m 18s	1m 17s	224.2%	966.3 MB	6.3 GB	788.3 MB	179 MB
61	0f/e747f2	42875	run_searchgui_search (4)	COMPLETED	0	2022-02-08 18:15:36.724	1m 18s	1m 17s	224.2%	973.1 MB	6.4 GB	795.2 MB	180.2 MB
64	c5/69168c	45439	run_searchgui_search (7)	COMPLETED	0	2022-02-08 18:16:55.110	1m 19s	1m 18s	227.1%	945.3 MB	6.1 GB	788.4 MB	177.8 MB
72	ec/98c7a1	47973	run_searchgui_search (15)	COMPLETED	0	2022-02-08 18:18:14.044	1m 18s	1m 16s	224.8%	914.9 MB	5.8 GB	774.7 MB	173.1 MB
73	01/53a4e2	1755	run_searchgui_search (16)	COMPLETED	0	2022-02-08 18:19:31.834	1m 16s	1m 15s	226.2%	947.8 MB	6.3 GB	776.8 MB	173.3 MB
75	01/c09bf7	10564	run_searchgui_search (18)	COMPLETED	0	2022-02-08 18:20:48.216	1m 17s	1m 16s	224.1%	947.5 MB	6.2 GB	788.2 MB	178 MB
58	16/b74119	13095	run_searchgui_search (1)	COMPLETED	0	2022-02-08 18:22:05.500	1m 17s	1m 15s	222.8%	965.5 MB	6.3 GB	789.6 MB	179.3 MB
65	bc/289161	15743	run_searchgui_search (8)	COMPLETED	0	2022-02-08 18:23:22.289	1m 19s	1m 18s	221.3%	933.4 MB	6 GB	811.3 MB	185.3 MB
60	79/afb892	18580	run_searchgui_search (3)	COMPLETED	0	2022-02-08 18:24:41.512	1m 34s	1m 32s	221.6%	993.9 MB	6.4 GB	835.8 MB	186.8 MB
74	72/3e3e8f	21537	run_searchgui_search (17)	COMPLETED	0	2022-02-08 18:26:15.152	1m 37s	1m 36s	220.9%	1 GB	6.2 GB	864.1 MB	185.7 MB
76	1d/79584c	24791	run_searchgui_search (19)	COMPLETED	0	2022-02-08 18:27:52.395	1m 36s	1m 34s	219.7%	980 MB	5.8 GB	854.5 MB	183.9 MB
63	97/cd3a93	27667	run_searchgui_search (6)	COMPLETED	0	2022-02-08 18:29:28.318	1m 32s	1m 31s	224.6%	967 MB	6.3 GB	806.8 MB	181.9 MB
84	db/0845ec	30565	run_searchgui_search (27)	COMPLETED	0	2022-02-08 18:31:00.637	1m 36s	1m 34s	219.5%	938.3 MB	5.8 GB	859.5 MB	184.1 MB
59	8b/c5fe4c	33438	run_searchgui_search (2)	COMPLETED	0	2022-02-08 18:32:36.174	1m 35s	1m 33s	222.2%	942 MB	6 GB	833.1 MB	184.7 MB
85	0c/1acf48	36297	set_proline_inputfiles	COMPLETED	0	2022-02-08 18:34:10.863	1.4s	16ms	110.3%	0	0	45.4 KB	889 B
86	4e/178bc1	36590	run_proline (1)	COMPLETED	0	2022-02-08 18:34:12.329	34m 31s	34m 30s	503.2%	13.7 GB	52.7 GB	94.7 GB	53.4 GB
87	ea/824590	48526	run_polystest (1)	COMPLETED	0	2022-02-08 19:08:43.705	43m 1s	43m	375.1%	1004.1 MB	7.5 GB	4.5 GB	65.4 MB
